legislator,role,district,party,residence,gender,desk_number,profession,notes,session
"Bentz, Cliff",,60,R,"Baker, Grant, Harney, Malheur and portions of Lake",Male,47,"Law, Public Safety, Corrections and Security",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Boone, Deborah",,32,D,Clatsop and portions of Tillamook and Washington,Female,38,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Buckley, Peter",,5,D,Portion of Jackson,Male,60,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Buehler, Knute",,54,R,Portion of Deschutes,Male,16,Health Science,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Clem, Brian",,21,D,Portion of Marion,Male,46,Business Management and Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Davis, John",,26,R,"Portions of Clackamas, Washington and Yamhill",Male,41,"Law, Public Safety, Corrections and Security",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Doherty, Margaret",,35,D,Portions of Multnomah and Washington,Female,17,Business Management and Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Esquivel, Sal",,6,R,Portion of Jackson,Male,56,"Marketing, Sales and Service",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Evans, Paul",,20,D,Portions of Marion and Polk,Male,2,Education and Training,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Fagan, Shemia",,51,D,Portions of Clackamas and Multnomah,Female,37,"Law, Public Safety, Corrections and Security",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Frederick, Lew",,43,D,Portion of Multnomah,Male,14,"Arts, Audio/Video Technology and Communications",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Gallegos, Joseph",,30,D,Portion of Washington,Male,30,Business Management and Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Gilliam, Vic",,18,R,Portions of Clackamas and Marion,Male,18,Self-Employed,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Gomberg, David",,10,D,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,45,Business Management and Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Gorsek, Chris",,49,D,Portion of Multnomah,Male,28,Education and Training,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Greenlick, Mitch",,33,D,Portions of Multnomah and Washington,Male,4,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Hack, Jodi",,19,R,Portion of Marion,Female,25,"Arts, Audio/Video Technology and Communications",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Hayden, Cedric",,7,R,Portions of Douglas and Lane,Male,24,Health Science,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Heard, Dallas",,2,R,"Portions of Douglas, Jackson and Josephine",Male,33,"Architecture, Construction and Skilled Trade",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Helm, Ken",,34,D,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Holvey, Paul",,8,D,Portion of Lane,Male,53,"Architecture, Construction and Skilled Trade",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Hoyle, Val",,14,D,Portion of Lane,Female,44,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Huffman, John",,59,R,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Architecture and Construction,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Johnson, Mark",,52,R,Hood River and portions of Clackamas and Multnomah,Male,8,Architecture and Construction,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Kennemer, Bill",,39,R,Portion of Clackamas,Male,15,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Keny-Guyer, Alissa",,46,D,Portion of Multnomah,Female,11,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Komp, Betty",,22,D,Portion of Marion,Female,27,Retired,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Kotek, Tina",Speaker,44,D,Portion of Multnomah,Female,55,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Krieger, Wayne",,1,R,"Curry and portions of Coos, Douglas and Josephine",Male,40,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Lininger, Ann",,38,D,Portions of Clackamas and Multnomah,Female,29,"Law, Public Safety, Corrections and Security",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Lively, John",,12,D,Portion of Lane,Male,26,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"McKeown, Caddy",,9,D,"Portions of Coos, Douglas, Lane and Lincoln",Female,36,Retired,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"McLain, Susan",,29,D,Portion of Washington,Female,9,Retired,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"McLane, Mike",House Republican Leader,55,R,"Crook and portions of Deschutes, Jackson, Klamath and Lake",Male,50,"Law, Public Safety, Corrections and Security",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Nathanson, Nancy",,13,D,Portion of Lane,Female,43,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Nearman, Mike",,23,R,"Portions of Benton, Marion, Polk and Yamhill",Male,5,Information Technology,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Nosse, Rob",,42,D,Portion of Multnomah,Male,13,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Olson, Andy",,15,R,Portions of Benton and Linn,Male,57,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Parrish, Julie",,37,R,Portions of Clackamas and Washington,Female,6,Business Management and Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Piluso, Carla",,50,D,Portion of Multnomah,Female,10,"Law, Public Safety, Corrections and Security",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Post, Bill",,25,R,Portion of Marion,Male,32,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Rayfield, Dan",,16,D,Portion of Benton,Male,21,"Law, Public Safety, Corrections and Security",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Read, Tobias",,27,D,Portion of Washington,Male,59,Business Management and Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Reardon, Jeff",,48,D,Portions of Clackamas and Multnomah,Male,22,Retired,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Smith Warner, Barbara",,45,D,Portion of Multnomah,Female,19,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Smith, Greg",,57,R,"Gilliam, Morrow, Sherman and portions of Umatilla and Wasco",Male,23,Business Management and Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Sprenger, Sherrie",,17,R,Portions of Linn and Marion,Female,49,Retired,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Stark, Duane",,4,R,Portions of Jackson and Josephine,Male,31,Clergy,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Taylor, Kathleen",,41,D,Portions of Clackamas and Multnomah,Female,20,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Vega Pederson, Jessica",,47,D,Portion of Multnomah,Female,52,Business Management and Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Weidner, Jim",,24,R,Portions of Washington and Yamhill,Male,39,Business Management and Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Whisnant, Gene",,53,R,Portion of Deschutes,Male,34,Retired,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Whitsett, Gail",,56,R,Portions of Klamath and Lake,Female,48,"Agriculture, Food and Natural Resources",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Williamson, Jennifer",House Democratic Leader,36,D,Portion of Multnomah,Female,51,"Law, Public Safety, Corrections and Security",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Wilson, Carl",,3,R,Portion of Josephine,Male,42,"Arts, Audio/Video Technology and Communications",,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Witt, Bradley",,31,D,Columbia and portions of Multnomah and Washington,Male,54,Government and Public Administration,,"Session : 2016 Session - February 1-March 3, 2016 (60)"
"Barker, Jeff",,28,D,Portion of Washington,Male,3,Retired,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Barnhart, Phil",,11,D,Portion of Lane and Linn,Male,58,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Barreto, Greg",,58,R,"Union, Wallowa and portion of Umatilla",Male,1,Business Management and Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Barton, Brent",,40,D,Portion of Clackamas,Male,35,"Law, Public Safety, Corrections and Security",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Bentz, Cliff",,60,R,"Baker, Grant, Harney, Malheur and portions of Lake",Male,31,"Law, Public Safety, Corrections and Security",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Boone, Deborah",,32,D,Clatsop and portions of Tillamook and Washington,Female,38,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Buckley, Peter",,5,D,Portion of Jackson,Male,60,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Buehler, Knute",,54,R,Portion of Deschutes,Male,16,Health Science,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Clem, Brian",,21,D,Portion of Marion,Male,46,Business Management and Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Davis, John",,26,R,"Portions of Clackamas, Washington and Yamhill",Male,41,"Law, Public Safety, Corrections and Security",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Doherty, Margaret",,35,D,Portions of Multnomah and Washington,Female,17,Education and Training,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Esquivel, Sal",,6,R,Portion of Jackson,Male,56,"Marketing, Sales and Service",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Evans, Paul",,20,D,Portions of Marion and Polk,Male,2,Education and Training,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Fagan, Shemia",,51,D,Portions of Clackamas and Multnomah,Female,37,"Law, Public Safety, Corrections and Security",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Frederick, Lew",,43,D,Portion of Multnomah,Male,14,"Arts, Audio/Video Technology and Communications",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Gallegos, Joseph",,30,D,Portion of Washington,Male,30,Business Management and Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Gilliam, Vic",,18,R,Portions of Clackamas and Marion,Male,18,Self-Employed,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Gomberg, David",,10,D,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,45,Business Management and Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Gorsek, Chris",,49,D,Portion of Multnomah,Male,28,Education and Training,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Greenlick, Mitch",,33,D,Portions of Multnomah and Washington,Male,4,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Hack, Jodi",,19,R,Portion of Marion,Female,25,"Arts, Audio/Video Technology and Communications",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Hayden, Cedric",,7,R,Portions of Douglas and Lane,Male,24,Health Science,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Heard, Dallas",,2,R,"Portions of Douglas, Jackson and Josephine",Male,33,"Architecture, Construction and Skilled Trade",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Helm, Ken",,34,D,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Holvey, Paul",,8,D,Portion of Lane,Male,53,"Architecture, Construction and Skilled Trade",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Hoyle, Val",House Democratic Leader,14,D,Portion of Lane,Female,51,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Huffman, John",,59,R,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Architecture and Construction,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Johnson, Mark",,52,R,Hood River and portions of Clackamas and Multnomah,Male,8,Architecture and Construction,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Kennemer, Bill",,39,R,Portion of Clackamas,Male,15,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Keny-Guyer, Alissa",,46,D,Portion of Multnomah,Female,11,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Komp, Betty",,22,D,Portion of Marion,Female,27,Retired,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Kotek, Tina",Speaker,44,D,Portion of Multnomah,Female,55,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Krieger, Wayne",,1,R,"Curry and portions of Coos, Douglas and Josephine",Male,40,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Lininger, Ann",,38,D,Portions of Clackamas and Multnomah,Female,29,"Law, Public Safety, Corrections and Security",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Lively, John",,12,D,Portion of Lane,Male,26,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"McKeown, Caddy",,9,D,"Portions of Coos, Douglas, Lane and Lincoln",Female,36,Retired,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"McLain, Susan",,29,D,Portion of Washington,Female,9,Retired,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"McLane, Mike",House Republican Leader,55,R,"Crook and portions of Deschutes, Jackson, Klamath and Lake",Male,50,"Law, Public Safety, Corrections and Security",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Nathanson, Nancy",,13,D,Portion of Lane,Female,43,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Nearman, Mike",,23,R,"Portions of Benton, Marion, Polk and Yamhill",Male,5,Information Technology,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Nosse, Rob",,42,D,Portion of Multnomah,Male,13,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Olson, Andy",,15,R,Portions of Benton and Linn,Male,57,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Parrish, Julie",,37,R,Portions of Clackamas and Washington,Female,6,Business Management and Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Piluso, Carla",,50,D,Portion of Multnomah,Female,10,"Law, Public Safety, Corrections and Security",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Post, Bill",,25,R,Portion of Marion,Male,32,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Rayfield, Dan",,16,D,Portion of Benton,Male,21,"Law, Public Safety, Corrections and Security",,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Read, Tobias",,27,D,Portion of Washington,Male,59,Business Management and Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Reardon, Jeff",,48,D,Portions of Clackamas and Multnomah,Male,22,Retired,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
"Smith Warner, Barbara",,45,D,Portion of Multnomah,Female,19,Government and Public Administration,,"Session : 2015 Session - February 2-July 6, 2016 (60)"
